frame,north,south,east,west,phase,time
861,0,6,0,15,EW,43
862,0,9,0,15,EW,37
863,0,12,0,15,NS,0
864,0,3,0,15,EW,42
865,0,1,0,15,EW,41
866,0,2,0,15,EW,41
867,0,2,0,15,EW,40
868,0,3,1,15,EW,40
869,0,4,1,15,EW,33
870,0,5,1,15,EW,39
871,0,0,1,15,EW,38
872,0,0,1,15,EW,38
873,0,0,0,15,EW,37
874,3,0,0,15,EW,37
875,3,0,0,15,EW,36
876,3,1,0,15,EW,36
877,3,1,3,15,EW,35
878,3,0,3,15,EW,35
879,0,0,3,15,EW,34
880,0,0,3,15,EW,34
881,0,0,3,15,EW,33
882,0,0,0,15,EW,33
883,0,0,0,15,EW,32
884,0,0,0,15,EW,32
885,0,0,0,15,EW,31
886,0,0,0,15,EW,31
887,0,0,0,15,EW,30
888,0,0,0,15,EW,30
889,0,0,0,15,EW,29
890,0,0,0,15,EW,29
891,0,0,0,15,EW,28
892,0,0,0,15,EW,28
893,0,3,0,15,EW,27
894,0,6,0,15,EW,27
895,0,9,0,15,EW,20
896,0,12,0,15,EW,26
897,0,15,0,15,EW,19
898,0,0,0,15,EW,25
899,0,3,0,15,EW,24
900,0,3,0,15,EW,24
901,0,6,0,0,NS,3
902,0,9,1,3,EW,23
903,0,12,1,6,EW,22
904,0,15,6,9,EW,16
905,0,0,6,12,EW,21
906,0,3,6,15,EW,15
907,3,3,5,15,EW,20
908,6,6,5,15,EW,14
909,6,9,5,15,EW,19
910,6,6,5,15,EW,13
911,6,0,5,15,EW,18
912,3,0,5,15,EW,18
913,0,0,6,15,EW,17
914,0,0,5,15,EW,17
915,0,18,20,15,EW,16
916,0,0,35,15,EW,16
917,0,3,35,15,EW,15
918,0,3,35,15,EW,15
919,0,3,35,15,EW,14
920,0,3,35,15,EW,14
921,0,3,35,15,EW,13
922,0,1,35,15,EW,13
923,0,4,35,15,EW,12
924,0,4,35,15,EW,12
